Dominican Republic,3/27/2020,0.65659,0.65192,0.6385,0.62986,0.62645,0.61567,0.6184,0.6128,0.61806,0.61894,0.62465,0.60801,0.6459,0.65263,0.65929,0.67067,0.67856,0.68821,0.70024,0.70917,0.72238,0.73018,0.74059,0.74731,0.75475,0.75888,0.75747,0.75792,0.75572,0.74883
Ecuador,3/21/2020,0.6809,0.6672,0.66131,0.6598,0.64173,0.64262,0.60904,0.63166,0.63119,0.63486,0.63801,0.61738,0.64797,0.65407,0.65898,0.67104,0.68414,0.70279,0.7197,0.73747,0.66153,0.70236,0.69148,0.67165,0.64935,0.63337,0.62152,0.61119,0.61204,0.61899
Egypt,3/27/2020,0.59054,0.56505,0.5484,0.5344,0.52231,0.51711,0.51599,0.51974,0.52643,0.53973,0.54936,0.5321,0.57878,0.58645,0.59609,0.60306,0.61035,0.61572,0.62091,0.6252,0.62847,0.62972,0.63167,0.63321,0.63327,0.63211,0.63288,0.6325,0.6308,0.63073
El Salvador,5/4/2020,0.663,0.64756,0.63643,0.62722,0.61929,0.61476,0.61366,0.61767,0.62387,0.63139,0.63967,0.61898,0.66258,0.66961,0.67932,0.6852,0.69247,0.69987,0.7039,0.70735,0.71252,0.71828,0.72362,0.72697,0.7319,0.7358,0.73878,0.74048,0.74162,0.74138
Estonia,3/26/2020,0.59331,0.57299,0.56173,0.56104,0.55973,0.56415,0.57796,0.5953,0.61841,0.6394,0.66695,0.63983,0.72516,0.74315,0.74539,0.7557,0.75948,0.76877,0.78151,0.78999,0.79578,0.80044,0.80734,0.82276,0.83307,0.84114,0.85437,0.86312,0.86455,0.87796
Fiji,6/2/2021,0.64412,0.63161,0.61411,0.59663,0.5818,0.57291,0.56078,0.54693,0.53719,0.53393,0.63989,0.56824,0.61963,0.64232,0.66725,0.69554,0.72138,0.74861,0.76999,0.79195,0.81108,0.82518,0.84111,0.84632,0.85246,0.8517,0.83835,0.82832,0.8166,0.79522
Finland,3/21/2020,0.57197,0.57927,0.54865,0.54378,0.53002,0.52455,0.51552,0.51186,0.51326,0.51454,0.51949,0.49258,0.54787,0.56109,0.57484,0.5951,0.6147,0.6312,0.64916,0.65831,0.66932,0.674,0.6743,0.67419,0.6751,0.67264,0.66405,0.67011,0.66288,0.66655
France,3/6/2020,0.52172,0.50772,0.4899,0.4715,0.47156,0.46652,0.4636,0.46821,0.47244,0.4873,0.4955,0.47947,0.51421,0.53091,0.53904,0.59194,0.5971,0.61896,0.65812,0.68282,0.71733,0.76232,0.80459,0.74917,0.80198,0.76542,0.74669,0.69333,0.65386,0.60621
Gabon,5/7/2020,0.60423,0.57706,0.56283,0.57299,0.55807,0.56373,0.56886,0.57304,0.5748,0.58703,0.59738,0.56958,0.6203,0.62625,0.63731,0.65086,0.66735,0.68826,0.70588,0.71817,0.73388,0.74438,0.76509,0.77391,0.78303,0.75577,0.77381,0.76714,0.75137,0.7492
Germany,3/6/2020,0.51861,0.52171,0.51097,0.49854,0.499,0.50288,0.50548,0.51579,0.52971,0.5499,0.56809,0.5716,0.60428,0.62102,0.63754,0.65428,0.67042,0.68618,0.70151,0.71488,0.72939,0.74357,0.75774,0.77097,0.78352,0.79659,0.80569,0.81644,0.8262,0.83561
